Label,ROP (m/hr),RPM (rpm),WOB Avg (klb),Hookload (klb),Torque (f-kp),Disc (GPM),SPP,Total SPM,Flow Out (%)
Mud Loss,34.85,147,16,151.2,7.63,564,1960,113,21
Mud Loss,91.42,0,0,187.7,0,138,129,27,10
Mud Loss,1.98,81,2.2,160.3,5.1,307,851,62,12
Mud Loss,6.23,72,10.8,152.4,5.86,391,1011,79,12
Mud Loss,4.69,133,21.9,145.2,8.34,609,1827,112,21
Mud Loss,91.42,0,0,187.7,0,626,1878,27,10
Mud Loss,66.13,0,0,140.5,0,630,1890,31,12
Mud Loss,17.41,147,18.7,150.7,8.35,551,2216,111,25
Mud Loss,9.48,145,15,157.6,7.11,551,2214,111,25
Mud Loss,9.45,145,16.4,153.2,6.79,552,2208,111,25
Mud Loss,9.78,145,17.5,151.6,7.17,551,2211,111,25
Mud Loss,34.85,147,16,151.2,7.63,564,1960,113,21
Mud Loss,33.8,147,15.5,152.1,7.39,564,1962,113,21
Mud Loss,91.42,0,0,187.7,0,138,129,27,10
Mud Loss,28.79,146,16.3,151.8,8.62,563,1983,113,22
Mud Loss,38.47,145,19.9,147.4,9.48,563,2001,113,21
Mud Loss,40.12,147,16.5,151.2,9.26,556,1979,112,21
Mud Loss,35.18,147,16.5,151,8.8,553,1913,111,21
Mud Loss,6.82,144,11.5,155.9,8.24,553,1891,111,19
No mud Loss,1.27,97,6.3,158.9,5.12,630,1890,62,11
No mud Loss,6.82,144,11.5,155.9,8.24,586,1758,111,19
No mud Loss,16.89,144,19.5,149.9,8.15,552,2212,111,25
No mud Loss,12.53,145,18.7,149.8,7.42,552,2222,111,25
No mud Loss,12.26,148,17.5,153.7,8.34,552,2207,111,25
No mud Loss,11.91,145,17.3,152.3,7.02,552,2210,111,25
No mud Loss,43.81,146,15.9,152,7.21,559,1968,113,21
No mud Loss,17.18,146,5.5,163.9,8.45,544,1700,110,21
No mud Loss,14.79,147,16.8,150.4,8.42,503,1679,101,20
No mud Loss,33.25,149,15.9,151.4,8.28,504,1670,101,20
No mud Loss,49.05,145,17.1,150.3,8.47,503,1700,101,21
No mud Loss,14.81,147,12.9,157.2,7.47,553,2214,111,25
No mud Loss,8.6,146,21.5,149.6,7.48,552,2211,111,24
No mud Loss,20.15,146,18.7,151.2,8.91,551,2211,111,25
No mud Loss,21.28,143,20.8,148,7.54,551,2219,111,25
No mud Loss,20.76,146,19.4,151.4,7.93,551,2226,111,25
No mud Loss,21.16,147,21.3,148,8.22,553,2217,111,25
No mud Loss,21.21,147,20.3,149.4,8.06,552,2202,111,25
No mud Loss,21.52,146,20.7,148.9,8.53,553,2219,111,25
No mud Loss,21.9,147,18.7,151.9,10.22,551,2190,111,25
No mud Loss,21.31,145,17.4,152.5,9.66,551,2204,111,25
No mud Loss,22.35,145,20.6,149.5,7.48,552,2209,111,25
No mud Loss,21.9,147,18.7,151.9,10.22,551,2190,111,25
No mud Loss,21.36,146,19.1,149.3,6.72,552,2202,111,25
No mud Loss,21.14,146,20,149.2,9.64,553,2190,111,25
No mud Loss,21.97,147,21.2,147.9,7.38,551,2206,111,25
No mud Loss,22.15,147,21.3,148.1,8.6,552,2202,111,25
No mud Loss,20.49,145,19.5,148.8,7.4,552,2207,111,25
No mud Loss,19.8,145,20.9,148.4,7.67,551,2203,111,25
No mud Loss,18.94,145,20.6,148.6,7.73,553,2207,111,25
No mud Loss,18.29,145,18.6,151.1,8.57,552,2212,111,25
No mud Loss,18.39,145,20.8,149.9,7.78,551,2230,111,25
No mud Loss,18.3,145,20,149.2,7.61,551,2218,111,25
No mud Loss,18.59,146,23.1,146.3,8.15,551,2207,111,25
No mud Loss,17.81,145,21.4,148.5,8.2,552,2204,111,25
No mud Loss,16.89,144,19.5,149.9,8.15,552,2212,111,25
No mud Loss,16.68,145,18.1,150.8,9.07,552,2210,111,25
Mud Loss,6.23,72,10.8,152.4,5.86,391,1011,79,12
Mud Loss,4.16,73,8.5,155,5.25,233,810,47,11
