Depth (m),Hole Depth (m),Block Ht. (m),ROP (m/hr),RPM (rpm),WOB Avg (klb),Hookload (klb),Torque (f-kp),Disc (GPM),SPP,Total SPM,Flow Out (%),Pit Act (bbl),Pit Chg (bbl)
1820,1820,21.25,45.59,146,17.3,150.6,7.44,558,1961,113,21,301,-0.9
1820.5,1820.5,20.75,47.61,145,17.5,150.3,7.78,559,1969,112,21,300,-1
1821,1821,20.25,43.81,146,15.9,152,7.21,559,1968,113,21,298,-2
1821.5,1821.5,19.75,17.18,146,5.5,163.9,8.45,544,1700,110,21,299,1
1822,1822,19.25,14.79,147,16.8,150.4,8.42,503,1679,101,20,301,2
1822.5,1822.5,18.75,33.25,149,15.9,151.4,8.28,504,1670,101,20,303,2
1823,1823,18.25,49.05,145,17.1,150.3,8.47,503,1700,101,21,307,4
1823.5,1823.5,17.75,46.44,145,17.6,149.7,9.23,504,1657,101,20,305,-2
1824,1824,17.25,47.31,145,16.1,151.5,10.03,504,1659,101,21,302,-3
1824.5,1824.5,16.75,48.65,147,14.1,153,8.9,504,1671,101,21,303,1
1825,1825,16.25,50.32,146,17.5,150.5,9.12,504,1673,101,21,303,0
1825.5,1825.5,15.75,40.96,145,12.6,154.8,7.92,504,1678,101,21,304,1
1826,1826,15.25,37.51,147,12.2,155.9,8.06,503,1657,101,20,302,-2
1826.5,1826.5,14.75,47.26,144,18.5,149.3,8.98,503,1667,101,20,300,-2
1827,1827,14.25,49.88,144,17.5,149.8,8.66,503,1656,101,21,300,0
1827.5,1827.5,13.75,45.58,143,15.9,151.7,8.75,502,1655,101,21,302,2
1828,1828,13.25,46.12,146,13.1,154,8.5,503,1658,101,21,302,0
1828.5,1828.5,12.75,21.67,147,5.2,161,6.97,487,1396,98,20,300,-2
1829,1829,12.25,21.62,148,16.1,150.8,8.68,503,1631,101,20,301,1
1829.5,1829.5,11.75,48.19,149,16.1,152.6,8.32,503,1665,101,21,303,2
1830,1830,11.25,45.96,149,9.2,158.8,7.73,504,1650,101,21,302,-1
1830.5,1830.5,10.75,19.24,147,18.1,149.1,8.66,504,1682,101,21,304,2
1831,1831,10.25,33.92,147,9.5,158.3,6.54,556,1926,112,21,304,0
1831.5,1831.5,9.75,20.5,148,13.9,153,7.1,558,1926,112,21,304,0
1832,1832,8.75,46.65,145,15.9,151.1,7.16,558,1918,112,21,303,-1
1832.5,1832.5,8.25,6.82,144,11.5,155.9,8.24,553,1891,111,19,302,-1
1833,1833,7.75,43.81,146,15.9,152,7.21,559,1968,113,21,302,0
1833.5,1833.5,7.25,5.31,72,6.5,156.5,5.11,445,918,89,11,300,-2
1834,1834,6.75,34.85,147,16,151.2,7.63,564,1960,113,21,290,-10
1834.5,1834.5,6.25,33.8,147,15.5,152.1,7.39,564,1962,113,21,282,-8
1835,1835,5.75,29.33,148,15.2,153,7.67,563,1945,113,21,279,-3
1835.5,1835.5,5.25,27.25,148,13.7,153.3,7.33,566,1816,114,21,276,-3
1836,1836,4.75,38.56,149,11.6,156.1,7.22,564,1695,114,22,272,-4
1836.5,1836.5,4.25,38.56,147,12.3,155.1,7.25,561,1848,113,22,273,1
1837,1837,3.75,29.7,148,14.6,153,7.87,564,1986,113,22,272,-1
1837.5,1837.5,3.25,24.07,147,12.9,153.3,7.82,564,1982,114,21,270,-2
1838,1838,2.75,28.79,146,16.3,151.8,8.62,563,1983,113,22,266,-4
1838.5,1838.5,2.25,38.47,145,19.9,147.4,9.48,563,2001,113,21,260,-6
1839,1839,1.75,40.12,147,16.5,151.2,9.26,556,1979,112,21,254,-6
1839.5,1839.5,1.25,35.18,147,16.5,151,8.8,553,1913,111,21,248,-6
1840,1840,0.75,6.82,144,11.5,155.9,8.24,553,1891,111,19,241,-7
1840.5,1840.5,0.25,7.17,146,11.8,156.1,7.66,555,1999,112,21,245,4
1841,1841,30,4.69,133,21.9,145.2,8.34,556,2069,112,21,247,2
1841.5,1841.5,29.5,91.42,0,0,187.7,0,138,129,27,10,235,-12
