ROP (m/hr),RPM (rpm),WOB Avg (klb),Hookload (klb),Torque (f-kp),Disc (GPM),SPP,Total SPM,Flow Out (%)
45.59,146,17.3,150.6,7.44,558,1961,113,25
47.61,145,17.5,150.3,7.78,559,1969,112,25
43.81,146,15.9,152,7.21,559,1968,113,25
17.18,146,5.5,163.9,8.45,544,1700,110,25
14.79,147,16.8,150.4,8.42,503,1679,101,25
33.25,149,15.9,151.4,8.28,504,1670,101,25
49.05,145,17.1,150.3,8.47,503,1700,101,25
46.44,145,17.6,149.7,9.23,504,1657,101,25
47.31,145,16.1,151.5,10.03,504,1659,101,25
48.65,147,14.1,153,8.9,504,1671,101,25
50.32,146,17.5,150.5,9.12,504,1673,101,25
40.96,145,12.6,154.8,7.92,504,1678,101,25
37.51,147,12.2,155.9,8.06,503,1657,101,25
47.26,144,18.5,149.3,8.98,503,1667,101,25
49.88,144,17.5,149.8,8.66,503,1656,101,25
45.58,143,15.9,151.7,8.75,502,1655,101,25
46.12,146,13.1,154,8.5,503,1658,101,25
21.67,147,5.2,161,6.97,487,1396,98,25
21.62,148,16.1,150.8,8.68,503,1631,101,25
48.19,149,16.1,152.6,8.32,503,1665,101,25
45.96,149,9.2,158.8,7.73,504,1650,101,25
19.24,147,18.1,149.1,8.66,504,1682,101,25
33.92,147,9.5,158.3,6.54,556,1926,112,25
20.5,148,13.9,153,7.1,558,1926,112,25
46.65,145,15.9,151.1,7.16,558,1918,112,25
6.82,144,11.5,155.9,8.24,553,1891,111,25
43.81,146,15.9,152,7.21,559,1968,113,25
5.31,72,6.5,156.5,5.11,445,918,89,25
34.85,147,16,151.2,7.63,564,1960,113,25
33.8,147,15.5,152.1,7.39,564,1962,113,25
29.33,148,15.2,153,7.67,563,1945,113,25
27.25,148,13.7,153.3,7.33,566,1816,114,25
38.56,149,11.6,156.1,7.22,564,1695,114,25
38.56,147,12.3,155.1,7.25,561,1848,113,25
29.7,148,14.6,153,7.87,564,1986,113,25
24.07,147,12.9,153.3,7.82,564,1982,114,25
28.79,146,16.3,151.8,8.62,563,1983,113,25
38.47,145,19.9,147.4,9.48,563,2001,113,25
40.12,147,16.5,151.2,9.26,556,1979,112,25
35.18,147,16.5,151,8.8,553,1913,111,25
6.82,144,11.5,155.9,8.24,553,1891,111,25
7.17,146,11.8,156.1,7.66,555,1999,112,25
4.69,133,21.9,145.2,8.34,556,2069,112,25
91.42,0,0,187.7,0,138,129,27,25
66.13,0,0,140.5,0,154,165,31,25
97.56,0,0,132.2,0,153,183,31,25
1.98,81,2.2,160.3,5.1,307,851,62,25
1.27,97,6.3,158.9,5.12,306,909,62,24
1.35,67,7.6,156.1,5.19,276,918,56,25
2.18,69,7.5,156.1,5.16,277,783,56,25
6.43,77,7.3,156.3,5.72,318,942,64,25
5.45,73,1.1,162.6,4.73,254,943,51,25
3.27,73,2.4,161.5,4.57,255,962,51,25
2.87,74,5.7,157.3,4.7,231,1030,46,25
4.16,73,8.5,155,5.25,233,810,47,25
3.85,74,6.4,157.2,4.22,290,888,59,25
3.7,70,6.9,157.8,5.54,441,891,89,25
4.38,72,8.2,155,5.58,443,871,89,25
5.87,73,11.8,151.9,5.62,444,825,89,25
5.61,73,11.5,152.7,6,444,820,89,25
5.31,72,6.5,156.5,5.11,445,918,89,25
11.45,72,13.1,151.2,6.22,447,827,89,25
10.79,72,13.3,150.8,6.07,441,758,89,25
11.08,72,10,154.7,5.63,445,811,89,25
6.69,69,1.5,162.5,4.28,355,890,72,25
6.23,72,10.8,152.4,5.86,391,1011,79,24
10.78,72,13.5,149.6,6.22,389,1023,79,25
13.41,73,12,151.5,5.97,391,1030,79,25
14.51,71,15.5,148.2,7.19,388,1034,78,25
15.63,71,15,147.8,7.1,392,1021,79,25
18.12,72,14.1,148.9,6.14,390,1039,79,25
21.3,72,15.5,147.6,6.05,390,1060,79,26
18.2,72,13.6,150.1,6.19,389,1049,79,25
17.39,73,14,149.5,6.33,391,1040,79,25
18.65,72,13.9,149.6,5.65,389,1058,79,25
15.23,72,8.9,153.3,5.04,390,1277,79,25
10.17,71,15,148.5,5.35,389,1182,78,25
9.3,73,3.6,159.8,4.7,352,894,71,25
8.33,73,1.8,161.3,4.72,353,914,71,25
3.54,78,2.8,160.5,5.59,352,893,71,25
