md ,tvd,incination,azimuth,V.Sec,Cls.Dir,Closure,DLS
0,0,0,0,0,0,0,0
102.7,102.7,0,0,0,0,0,0
209.38,209.38,0.35,297.29,-0.32,297.29,0.33,0.1
219.04,219.04,0.36,215.49,-0.36,292.52,0.36,1.47
238.9,238.9,1.23,180.11,-0.33,251.23,0.39,1.47
267.88,267.86,2.73,171.12,0,193.28,1.15,1.61
296.86,296.76,5.78,173.41,0.76,179.82,3.25,3.21
326.11,325.76,9.01,176.23,1.93,177.3,7.01,3.39
354.74,354.01,9.72,178.35,3.21,177.31,11.67,0.84
383.66,382.44,11.36,169.71,4.99,176.19,16.93,2.4
412.73,410.9,12.16,162.31,7.71,173.53,22.78,1.79
437.21,434.8,12.79,157.19,10.63,170.93,27.93,1.58
466.11,462.99,12.67,151.84,14.62,167.91,34.08,1.25
494.68,490.9,12.21,139.71,19.13,164.61,39.82,2.83
523.86,519.37,13.24,127.98,24.65,160.45,45.43,2.9
552.6,547.31,13.88,116.35,31,155.75,50.85,2.97
581.11,574.97,14.24,107.46,37.83,150.85,56.03,2.34
610.05,602.95,15.3,104.44,45.2,145.98,61.47,1.38
638.83,630.59,17.16,100.94,53.23,141.29,67.54,2.22
667.73,658.03,19.36,95.4,62.24,136.51,74.38,2.95
696.39,684.94,20.88,91.05,71.94,131.77,81.83,2.27
725.01,711.6,21.76,89.06,82.06,127.35,89.86,1.21
753.87,738.34,22.49,88.32,92.58,123.4,98.58,0.83
782.56,764.86,22.33,88.27,103.15,120.05,107.71,0.17
811.8,791.91,22.34,88.48,113.88,117.2,117.31,0.08
840.62,818.53,22.67,89.06,124.56,114.83,127.12,0.42
869.44,845.12,22.74,89.86,135.36,112.84,137.26,0.33
898.77,872.21,22.33,89.56,146.29,111.13,147.66,0.44
928.07,899.3,22.47,89.43,157.13,109.64,158.09,0.15
956.94,925.99,22.37,88.87,167.8,108.33,168.45,0.25
986.02,952.87,22.5,89.14,178.56,107.15,178.96,0.17
1014.95,979.61,22.37,89.6,189.27,106.13,189.5,0.23
1043.85,1006.29,22.76,91.23,200.08,105.27,200.2,0.78
1072.83,1032.85,24.48,91.96,211.45,104.53,211.5,1.83
1102.05,1059.15,27.1,93.84,223.96,103.88,223.97,2.86
1130.83,1084.49,29.52,93.96,237.42,103.31,237.42,2.56
1159.9,1109.44,32.22,94.77,252.15,102.78,252.16,2.86
1176.63,1123.45,33.97,96.13,261.2,102.52,261.23,3.46
1206,1147.37,37.01,96.66,278.13,102.15,278.18,3.17
1235.15,1170.38,38.71,96.92,295.9,101.83,296,1.79
1264.42,1192.8,41.29,96.6,314.59,101.52,314.74,2.7
1293.18,1214.15,42.82,98.08,333.75,101.28,333.96,1.93
1322.32,1235.01,45.78,98.93,354.03,101.12,354.28,3.16
1351.41,1254.74,48.79,99.26,375.34,101.01,375.64,3.16
1380.39,1273.32,51.42,100.1,397.53,100.94,397.87,2.85
1409.61,1291.05,53.87,100.07,420.72,100.89,421.09,2.56
1438.39,1307.57,56.07,100.74,444.25,100.86,444.66,2.4
1467.46,1323.27,58.55,100.65,468.69,100.85,469.12,2.6
1496.29,1337.78,61.03,101.22,493.58,100.86,494.03,2.67
1525.5,1351.33,63.66,101.26,519.43,100.88,519.9,2.74
1554.6,1363.63,66.34,101.83,545.79,100.91,546.27,2.86
1583.53,1374.63,68.95,102.23,572.54,100.96,573.02,2.78
1612.34,1384.38,71.51,101.44,599.64,101,600.13,2.82
1641.36,1393.16,73.24,102.93,627.29,101.05,627.78,2.35
1670.15,1401.12,74.68,102.37,654.96,101.12,655.43,1.63
1698.96,1408.26,76.62,103.1,682.86,101.19,683.33,2.18
1728.43,1414.39,79.35,104.29,711.68,101.29,712.13,3.07
1757.71,1419.61,80.1,103.73,740.49,101.39,740.91,0.97
1786.72,1423.97,82.61,104.68,769.17,101.5,769.55,2.82
1810.16,1426.57,84.67,103.95,792.46,101.58,792.82,2.84
1834.49,1428.62,87.33,102.52,821.71,101.64,822.06,3.14
1868.79,1429.81,88.85,104.46,851,101.7,851.33,3.07
1897.16,1430.63,89.68,108.49,882.31,101.87,882.59,3.92
