,Depth (m),Hole Depth (m),Block Ht. (m),ROP (m/hr),RPM (rpm),WOB Avg (klb),Hookload (klb),Torque (f-kp),Disc (GPM),SPP (psi),Total SPM (SPM),Flow Out (%),Pit Act (bbl),Pit Chg (bbl)
1,1875,1875,21.25,45.59,146,17.3,150.6,7.44,606,1818,113,21,356,-0.9
2,1875.5,1875.5,20.75,47.61,145,17.5,150.3,7.78,604,1812,112,21,355,-1
3,1876,1876,20.25,43.81,146,15.9,152,7.21,605,1815,113,21,353,-2
4,1876.5,1876.5,19.75,17.18,146,5.5,163.9,8.45,601,1803,110,21,354,1
5,1877,1877,19.25,14.79,147,16.8,150.4,8.42,603,1809,101,20,355,1
6,1877.5,1877.5,18.75,33.25,149,15.9,151.4,8.28,604,1812,101,20,353,-2
7,1878,1878,18.25,49.05,145,17.1,150.3,8.47,603,1809,101,21,355,2
8,1878.5,1878.5,17.75,46.44,145,17.6,149.7,9.23,604,1812,101,20,355,0
9,1879,1879,17.25,47.31,145,16.1,151.5,10.03,604,1812,101,21,357,2
10,1879.5,1879.5,16.75,48.65,147,14.1,153,8.9,604,1812,101,21,358,1
11,1880,1880,16.25,50.32,146,17.5,150.5,9.12,604,1812,101,21,358,0
12,1880.5,1880.5,15.75,40.96,145,12.6,154.8,7.92,604,1812,101,21,359,1
13,1881,1881,15.25,37.51,147,12.2,155.9,8.06,603,1809,101,20,357,-2
14,1881.5,1881.5,14.75,47.26,144,18.5,149.3,8.98,603,1809,101,20,355,-2
15,1882,1882,14.25,49.88,144,17.5,149.8,8.66,603,1809,101,21,355,0
16,1882.5,1882.5,13.75,45.58,143,15.9,151.7,8.75,602,1806,101,21,356,1
17,1883,1883,13.25,46.12,146,13.1,154,8.5,603,1809,101,21,358,2
18,1883.5,1883.5,12.75,21.67,147,5.2,161,6.97,587,1761,98,20,357,-1
19,1884,1884,12.25,21.62,148,16.1,150.8,8.68,590,1770,101,20,359,2
20,1884.5,1884.5,11.75,48.19,149,16.1,152.6,8.32,586,1758,101,21,358,-1
21,1885,1885,11.25,45.96,149,9.2,158.8,7.73,592,1776,101,21,359,1
22,1885.5,1885.5,10.75,19.24,147,18.1,149.1,8.66,594,1782,101,21,360,1
23,1886,1886,10.25,33.92,147,9.5,158.3,6.54,590,1770,112,21,359,-1
