ROP (m/hr),RPM (rpm),WOB Avg (klb),Hookload (klb),Torque (f-kp),Disc (GPM),SPP (psi),Total SPM (SPM),Flow Out (%)
45.59,146,17.3,150.6,7.44,606,1818,113,21
47.61,145,17.5,150.3,7.78,604,1812,112,21
43.81,146,15.9,152,7.21,605,1815,113,21
17.18,146,5.5,163.9,8.45,601,1803,110,21
14.79,147,16.8,150.4,8.42,603,1809,101,20
33.25,149,15.9,151.4,8.28,604,1812,101,20
49.05,145,17.1,150.3,8.47,603,1809,101,21
46.44,145,17.6,149.7,9.23,604,1812,101,20
47.31,145,16.1,151.5,10.03,604,1812,101,21
48.65,147,14.1,153,8.9,604,1812,101,21
50.32,146,17.5,150.5,9.12,604,1812,101,21
40.96,145,12.6,154.8,7.92,604,1812,101,21
37.51,147,12.2,155.9,8.06,603,1809,101,20
47.26,144,18.5,149.3,8.98,603,1809,101,20
49.88,144,17.5,149.8,8.66,603,1809,101,21
45.58,143,15.9,151.7,8.75,602,1806,101,21
46.12,146,13.1,154,8.5,603,1809,101,21
21.67,147,5.2,161,6.97,587,1761,98,20
21.62,148,16.1,150.8,8.68,590,1770,101,20
48.19,149,16.1,152.6,8.32,586,1758,101,21
45.96,149,9.2,158.8,7.73,592,1776,101,21
19.24,147,18.1,149.1,8.66,594,1782,101,21
33.92,147,9.5,158.3,6.54,590,1770,112,21
20.5,148,13.9,153,7.1,595,1785,112,21
46.65,145,15.9,151.1,7.16,591,1773,112,21
6.82,144,11.5,155.9,8.24,586,1758,111,19
43.81,146,15.9,152,7.21,588,1764,113,21
5.31,72,6.5,156.5,5.11,591,1773,89,11
34.85,147,16,151.2,7.63,593,1779,113,21
33.8,147,15.5,152.1,7.39,594,1782,113,21
29.33,148,15.2,153,7.67,594,1782,113,21
27.25,148,13.7,153.3,7.33,595,1785,114,21
38.56,149,11.6,156.1,7.22,597,1791,114,22
38.56,147,12.3,155.1,7.25,591,1773,113,22
29.7,148,14.6,153,7.87,595,1785,113,22
24.07,147,12.9,153.3,7.82,600,1800,114,21
28.79,146,16.3,151.8,8.62,603,1809,113,22
38.47,145,19.9,147.4,9.48,601,1803,113,21
40.12,147,16.5,151.2,9.26,607,1821,112,21
35.18,147,16.5,151,8.8,610,1830,111,21
6.82,144,11.5,155.9,8.24,615,1845,111,19
7.17,146,11.8,156.1,7.66,612,1836,112,21
4.69,133,21.9,145.2,8.34,609,1827,112,21
91.42,0,0,187.7,0,626,1878,27,10
66.13,0,0,140.5,0,630,1890,31,12
97.56,0,0,132.2,0,628,1884,31,11
1.98,81,2.2,160.3,5.1,628,1884,62,12
1.27,97,6.3,158.9,5.12,630,1890,62,11
1.35,67,7.6,156.1,5.19,629,1887,56,11
2.18,69,7.5,156.1,5.16,632,1896,56,12
6.43,77,7.3,156.3,5.72,634,1902,64,11
5.45,73,1.1,162.6,4.73,634,1902,51,12
3.27,73,2.4,161.5,4.57,633,1899,51,12
2.87,74,5.7,157.3,4.7,636,1908,46,11
4.16,73,8.5,155,5.25,634,1902,47,11
3.85,74,6.4,157.2,4.22,631,1893,59,12
3.7,70,6.9,157.8,5.54,634,1902,89,12
4.38,72,8.2,155,5.58,632,1896,89,12
5.87,73,11.8,151.9,5.62,633,1899,89,12
5.61,73,11.5,152.7,6,633,1899,89,11
5.31,72,6.5,156.5,5.11,636,1908,89,11
11.45,72,13.1,151.2,6.22,633,1899,89,12
10.79,72,13.3,150.8,6.07,633,1899,89,11
11.08,72,10,154.7,5.63,635,1905,89,11
6.69,69,1.5,162.5,4.28,636,1908,72,12
6.23,72,10.8,152.4,5.86,626,1878,79,12
10.78,72,13.5,149.6,6.22,624,1872,79,13
13.41,73,12,151.5,5.97,626,1878,79,12
14.51,71,15.5,148.2,7.19,623,1869,78,12
15.63,71,15,147.8,7.1,627,1881,79,12
18.12,72,14.1,148.9,6.14,625,1875,79,12
21.3,72,15.5,147.6,6.05,625,1875,79,12
18.2,72,13.6,150.1,6.19,624,1872,79,12
17.39,73,14,149.5,6.33,626,1878,79,12
18.65,72,13.9,149.6,5.65,624,1872,79,13
15.23,72,8.9,153.3,5.04,625,1875,79,13
10.17,71,15,148.5,5.35,624,1872,78,12
9.3,73,3.6,159.8,4.7,587,1761,71,11
8.33,73,1.8,161.3,4.72,588,1764,71,11
3.54,78,2.8,160.5,5.59,587,1761,71,11
