md ,incination,azimuth,tvd,V.Sec,Cls.Dir,Closure,DLS
0,0,0,0,0,0,0,0
102.7,0,0,102.7,0,0,0,0
209.38,0.35,297.29,209.38,-0.31,297.29,0.33,0.1
219.04,0.36,215.49,219.04,-0.35,292.52,0.36,1.47
238.9,1.23,180.11,238.9,-0.34,251.23,0.39,1.47
267.88,2.73,171.12,267.86,-0.08,193.28,1.15,1.61
296.86,5.78,173.41,296.76,0.53,179.82,3.25,3.21
326.11,9.01,176.23,325.76,1.45,177.3,7.01,3.39
354.74,9.72,178.35,354.01,2.41,177.31,11.67,0.84
383.66,11.36,169.71,382.44,3.83,176.19,16.93,2.4
412.73,12.16,162.31,410.9,6.18,173.53,22.78,1.79
437.21,12.79,157.19,434.8,8.78,170.93,27.93,1.58
466.11,12.67,151.84,462.99,12.41,167.91,34.08,1.25
494.68,12.21,139.71,490.9,16.61,164.61,39.82,2.83
523.86,13.24,127.98,519.37,21.89,160.45,45.43,2.9
552.6,13.88,116.35,547.31,28.07,155.75,50.85,2.97
581.11,14.24,107.46,574.97,34.81,150.85,56.03,2.34
610.05,15.3,104.44,602.95,42.14,145.98,61.47,1.38
638.83,17.16,100.94,630.59,50.17,141.29,67.54,2.22
667.73,19.36,95.4,658.03,59.21,136.51,74.38,2.95
696.39,20.88,91.05,684.94,69,131.77,81.83,2.27
725.01,21.76,89.06,711.6,79.27,127.35,89.86,1.21
753.87,22.49,88.32,738.34,89.96,123.4,98.58,0.83
782.56,22.33,88.27,764.86,100.7,120.05,107.71,0.17
811.8,22.34,88.48,791.91,111.61,117.2,117.31,0.08
840.62,22.67,89.06,818.53,122.46,114.83,127.12,0.42
869.44,22.74,89.86,845.12,133.42,112.84,137.26,0.33
898.77,22.33,89.56,872.21,144.5,111.13,147.66,0.44
928.07,22.47,89.43,899.3,155.51,109.64,158.09,0.15
956.94,22.37,88.87,925.99,166.34,108.33,168.45,0.25
986.02,22.5,89.14,952.87,177.27,107.15,178.96,0.17
1014.95,22.37,89.6,979.61,188.14,106.13,189.5,0.23
1043.85,22.76,91.23,1006.29,199.1,105.27,200.2,0.78
1072.83,24.48,91.96,1032.85,210.61,104.53,211.5,1.83
1102.05,27.1,93.84,1059.15,223.24,103.88,223.97,2.86
1130.83,29.52,93.96,1084.49,236.83,103.31,237.42,2.56
1159.9,32.22,94.77,1109.44,251.69,102.78,252.16,2.86
1176.63,33.97,96.13,1123.45,260.8,102.52,261.23,3.46
1206,37.01,96.66,1147.37,277.83,102.15,278.18,3.17
1235.15,38.71,96.92,1170.38,295.7,101.83,296,1.79
1264.42,41.29,96.6,1192.8,314.5,101.52,314.74,2.7
1293.18,42.82,98.08,1214.15,333.75,101.28,333.96,1.93
1322.32,45.78,98.93,1235.01,354.1,101.12,354.28,3.16
1351.41,48.79,99.26,1254.74,375.47,101.01,375.64,3.16
1380.39,51.42,100.1,1273.32,397.7,100.94,397.87,2.85
1409.61,53.87,100.07,1291.05,420.92,100.89,421.09,2.56
1438.39,56.07,100.74,1307.57,444.48,100.86,444.66,2.4
1467.46,58.55,100.65,1323.27,468.94,100.85,469.12,2.6
1496.29,61.03,101.22,1337.78,493.84,100.86,494.03,2.67
1525.5,63.66,101.26,1351.33,519.69,100.88,519.9,2.74
1554.6,66.34,101.83,1363.63,546.04,100.91,546.27,2.86
1583.53,68.95,102.23,1374.63,572.77,100.96,573.02,2.78
1612.34,71.51,101.44,1384.38,599.85,101,600.13,2.82
1661.04,77.34,100,1397.45,646.72,100.98,647.02,3.75
1675.04,79.46,99.74,1400.26,660.44,100.96,660.73,4.65
1712.76,78.59,97.13,1407.44,697.46,100.82,697.72,2.19
1741.64,78.14,96.94,1413.27,725.72,100.68,725.95,0.51
1771.54,79.78,93.16,1419,754.98,100.46,755.15,4.13
1796.04,82.78,91.53,1422.71,779.02,100.21,779.13,4.24
1814.86,83.14,94.21,1425.02,797.59,100.04,797.66,4.35
1828.21,83.41,96.11,1426.58,810.81,99.96,810.87,4.35
1840.66,83.54,98.07,1427.99,823.17,99.91,823.22,4.78
1867.8,84.27,98.6,1430.88,850.15,99.86,850.2,1.01
1897.05,87.86,99.06,1432.88,879.32,99.83,879.37,3.77
1952.7,88.97,98.61,1434.42,934.95,99.77,934.99,0.66
1972.04,88.97,98.61,1434.77,954.29,99.75,954.32,0
