,Date & Time,Activity,Depth (m),Hole Depth (m),Block Position (m),ROP (m/hr),RPM (rpm),WOB (klb),Hookload,Torque (f-kp),Total SPM (spm),Pump 1 Rate (spm),Pump 2 Rate (spm),Cum Strokes (cts),Discharge (GPM),SPP (psi),Flow Out (%),Pit Vol Total (bbl),Pit Vol Active (bbl),Pit Vol Chg (bbl)
1,01-01-2021 01:00,Drilling,2000,2000,16.3,21.31,145,17.4,152.5,9.66,111,56,55,13191,551,2204,25,277,277,0.5
2,01-01-2021 01:05,Drilling,2000.1,2000.1,16.19,22.35,145,20.6,149.5,7.48,111,56,55,13210,552,2209,25,273,273,-4
3,01-01-2021 01:10,Drilling,2000.16,2000.16,16.14,21.9,147,18.7,151.9,10.22,111,56,55,13228,551,2190,25,274,274,1
4,01-01-2021 01:15,Drilling,2000.2,2000.2,16.09,21.36,146,19.1,149.3,6.72,111,56,55,13246,552,2202,25,275,275,1
5,01-01-2021 01:20,Drilling,2000.26,2000.26,16.04,21.14,146,20,149.2,9.64,111,56,55,13265,553,2190,25,270,270,-5
6,01-01-2021 01:25,Drilling,2000.33,2000.33,15.96,21.97,147,21.2,147.9,7.38,111,56,55,13284,551,2206,25,276,276,6
7,01-01-2021 01:30,Drilling,2000.37,2000.37,15.92,22.15,147,21.3,148.1,8.6,111,56,55,13302,552,2202,25,273,273,-3
8,01-01-2021 01:35,Drilling,2000.39,2000.39,15.9,20.49,145,19.5,148.8,7.4,111,56,55,13320,552,2207,25,275,275,2
9,01-01-2021 01:40,Drilling,2000.43,2000.43,15.87,19.8,145,20.9,148.4,7.67,111,56,55,13340,551,2203,25,274,274,-1
10,01-01-2021 01:45,Drilling,2000.44,2000.44,15.86,18.94,145,20.6,148.6,7.73,111,56,55,13358,553,2207,25,271,271,-3
11,01-01-2021 01:50,Drilling,2000.48,2000.48,15.82,18.29,145,18.6,151.1,8.57,111,56,55,13376,552,2212,25,272,272,1
12,01-01-2021 01:55,Drilling,2000.55,2000.55,15.74,18.39,145,20.8,149.9,7.78,111,56,55,13394,551,2230,25,274,274,2
13,01-01-2021 02:00,Drilling,2000.59,2000.59,15.71,18.3,145,20,149.2,7.61,111,56,55,13414,551,2218,25,273,273,-1
14,01-01-2021 02:05,Drilling,2000.65,2000.65,15.65,18.59,146,23.1,146.3,8.15,111,56,55,13432,551,2207,25,273,273,0
15,01-01-2021 02:10,Drilling,2000.67,2000.67,15.63,17.81,145,21.4,148.5,8.2,111,56,55,13450,552,2204,25,280,280,7
16,01-01-2021 02:15,Drilling,2000.71,2000.71,15.59,17.41,147,18.7,150.7,8.35,111,56,55,13469,551,2216,25,265,265,-15
17,01-01-2021 02:20,Drilling,2000.75,2000.75,15.54,16.89,144,19.5,149.9,8.15,111,56,55,13488,552,2212,25,279,279,14
18,01-01-2021 02:25,Drilling,2000.81,2000.81,15.48,16.68,145,18.1,150.8,9.07,111,56,55,13506,552,2210,25,279,279,0
19,01-01-2021 02:30,Drilling,2000.89,2000.89,15.4,18.24,146,21.2,148.7,8.05,111,56,55,13525,549,2204,25,271,271,-8
20,01-01-2021 02:35,Drilling,2000.92,2000.92,15.38,18.27,144,20.8,149,7.8,111,56,55,13543,551,2204,25,271,271,0
21,01-01-2021 02:40,Drilling,2000.96,2000.96,15.34,17.56,146,20.9,148.1,8.36,111,56,55,13561,551,2207,25,275,275,4
22,01-01-2021 02:45,Drilling,2000.99,2000.99,15.3,17.07,147,19.6,149.5,8.43,111,56,55,13580,552,2204,25,269,269,-6
23,01-01-2021 02:50,Drilling,2001.02,2001.02,15.27,16.29,144,19.5,149,8.16,111,56,55,13599,551,2200,25,270,270,1
24,01-01-2021 02:55,Drilling,2001.03,2001.03,15.27,15.87,147,16.6,152.8,7.34,111,56,55,13617,551,2197,25,267,267,-3
25,01-01-2021 03:00,Drilling,2001.04,2001.04,15.25,15.21,146,16.4,152.9,7.09,111,56,55,13635,551,2211,25,275,275,8
26,01-01-2021 03:05,Drilling,2001.08,2001.08,15.21,14.76,145,16.9,152.5,7.28,111,56,55,13655,550,2206,25,271,271,-4
27,01-01-2021 03:10,Drilling,2001.15,2001.15,15.14,14.83,145,19,150.3,8.08,111,56,55,13673,551,2206,25,265,265,-6
28,01-01-2021 03:15,Drilling,2001.22,2001.22,15.07,15.2,145,20.4,149.1,8.56,111,56,55,13691,551,2210,25,268,268,3
