md,inclination,azimuth,tvd,V.Sec,Cls.Dir,Closure,DLS
0,0,0,0,0,0,0,0
100.35,0,0,100.35,0,0,0,0
257,0,179,257,0,0,0,0
285,2.25,100,284.99,-0.39,100,0.55,2.45
313,5,125,312.94,-1.19,113.16,2.27,3.38
342,8.5,180,341.76,-0.39,140.34,4.89,7.31
370,11,175,369.35,2.13,158.46,9.13,2.87
395.5,12.44,171.39,394.32,4.57,163.74,14.2,1.93
423.6,15.13,174.71,421.61,7.74,166.77,20.83,3.04
450.4,15.75,175.55,447.44,11.32,168.9,27.91,0.75
478.9,16.58,175.77,474.81,15.37,170.4,35.8,0.89
506.4,17.2,179.89,501.13,19.71,171.76,43.73,1.49
534.7,18.16,181.35,528.09,24.72,173.21,52.24,1.14
555.86,19.32,186,548.13,28.97,174.42,58.93,2.72
584.92,21.65,192.49,575.35,36.09,176.61,68.79,3.41
613.98,23.72,197.65,602.17,44.69,179.18,79.48,3.01
623.81,24.26,198.85,611.15,47.89,180.08,83.27,2.26
652.6,24.6,201.1,637.36,57.65,182.54,94.55,1.05
681.82,24.77,204.34,663.91,67.96,184.81,106.08,1.42
711.33,26.06,211.59,690.57,79.24,187.24,117.81,3.48
740.25,27.76,216.68,716.36,91.46,189.86,129.6,3.02
769.57,30.19,222.45,742.02,105.15,192.71,142.08,3.85
799.26,32.25,225.59,767.41,120.26,195.66,155.42,2.69
828.83,33.5,226.44,792.24,136.11,198.4,169.47,1.37
857.47,35.34,227.16,815.87,152.13,200.8,183.87,2.01
886.58,38.17,228.31,839.19,169.41,203.07,199.55,3.05
915.47,39.46,227.17,861.7,187.38,205.07,216.14,1.56
944.38,42.35,228.53,883.54,206.16,206.87,233.7,3.19
973.17,44.91,228.89,904.38,225.9,208.55,252.25,2.72
1001.95,45.6,230.3,924.64,246.25,210.1,271.42,1.29
1030.83,47.85,231.2,944.44,267.22,211.56,291.19,2.47
1060.35,49.43,232.35,963.94,289.34,212.97,312.07,1.86
1089.33,51.59,233.84,982.37,311.69,214.29,333.16,2.57
1118.31,53.41,235.05,1000.01,334.68,215.57,354.83,2.16
1147.56,55.46,235.8,1017.03,358.47,216.8,377.29,2.23
1176.19,57.52,236.85,1032.83,382.34,217.94,399.87,2.38
1205.11,59.01,239.4,1048.05,406.89,219.09,423.03,2.77
1234.18,59.04,239.17,1063.01,431.74,220.2,446.51,0.21
1262.95,59.13,239.69,1077.79,456.35,221.19,469.88,0.48
1291.85,59.72,239.88,1092.49,481.15,222.11,493.53,0.65
1320.42,59.25,240.14,1106.99,505.66,222.95,517.01,0.56
1349.6,58.59,240.26,1122.06,530.55,223.73,540.92,0.7
1378.34,59.09,240.57,1136.93,555.03,224.45,564.52,0.6
1406.85,59.66,240.71,1151.45,579.45,225.12,588.12,0.62
1435.79,59.14,240.8,1166.18,604.23,225.74,612.15,0.55
1464.57,58.65,239.47,1181.05,628.77,226.3,636.05,1.31
1493.47,58.95,237,1196.03,653.45,226.74,660.25,2.25
1522.13,59.3,233.7,1210.74,678.04,227.05,684.57,3.04
1545.04,58.88,234.74,1222.5,697.69,227.25,704.08,1.31
1566.25,58.73,236.85,1233.49,715.83,227.46,722.03,2.6
1595.23,59.91,238.43,1248.28,740.73,227.8,746.57,1.89
1622.5,59.86,238.38,1261.96,764.28,228.12,769.77,0.07
1651.75,59.7,239.46,1276.68,789.49,228.46,794.61,0.99
1680.38,59.71,239.66,1291.13,814.13,228.8,818.88,0.18
1709.3,60.13,239.93,1305.62,839.07,229.12,843.46,0.51
1738.37,59.94,240.76,1320.14,864.14,229.44,868.18,0.78
1767.14,60.63,240.97,1334.4,889,229.76,892.68,0.76
1796.04,62.59,241.26,1348.14,914.27,230.07,917.62,2.08
1824.61,64.02,240.96,1360.98,939.65,230.37,942.68,1.55
1853.79,67.06,241.13,1373.06,966.06,230.66,968.8,3.18
1882.53,68.37,241,1383.96,992.5,230.94,994.96,1.4
1911.04,70.97,241.27,1393.86,1019.08,231.2,1021.28,2.79
1939.98,73.55,241.25,1402.68,1046.47,231.47,1048.43,2.72
1968.76,76.76,242.37,1410.05,1074.09,231.73,1075.81,3.59
1997.66,79.38,242.81,1416.02,1102.11,232.01,1103.59,2.8
2026.32,81.52,242.48,1420.78,1130.12,232.27,1131.37,2.3
2054.94,83.15,241.22,1424.6,1158.28,232.51,1159.35,2.19
